year,site_name,times_exceeded,percent_exceeded,latitude,longitude,river_name
2012,Deadman 10,2,0.5,41.179736,-73.329331,Deadman Brook
2012,Deadman 2,1,0.25,41.141994,-73.358341,Deadman Brook
2012,Deadman 3,1,0.25,41.146818,-73.354342,Deadman Brook
2012,Deadman 4,2,0.5,41.154866,-73.3413,Deadman Brook
2012,Deadman 5,1,0.5,41.158688,-73.334975,Deadman Brook
2012,Deadman 7,2,0.5,41.165024,-73.334193,Deadman Brook
2012,Deadman 8,1,0.5,41.172671,-73.33152,Deadman Brook
2012,Deadman 9,2,0.5,41.178255,-73.33006,Deadman Brook
2012,Hunt Club 2,8,0.5,41.14786,-73.30736,Sasco Brook
2012,Hunt Club 3,5,0.3125,41.14685,-73.30846,Sasco Brook
2012,Hunt Club 4,6,0.42857142857142855,41.14649,-73.30862,Sasco Brook
2012,Hunt Club 5,5,0.5,41.14708,-73.30917,Sasco Brook
2012,Lamplight 1,9,0.5,41.11826,-73.34596,Pussy Willow Brook
2012,Muddy 3,12,0.46153846153846156,41.13857,-73.32546,Muddy Brook
2012,Muddy 4,15,0.5,41.14107,-73.32172,Muddy Brook
2012,New 0.5,5,0.2777777777777778,41.11657,-73.3187,Greens Farms Brook
2012,New 1,8,0.4444444444444444,41.118839,-73.316926,Greens Farms Brook
2012,New 2,9,0.5,41.123344,-73.313794,Greens Farms Brook
2012,New 3,9,0.5,41.130641,-73.31282,Greens Farms Brook
2012,Pussy Willow 1,7,0.5,41.1234,-73.34916,Pussy Willow Brook
2012,Pussy Willow 2,7,0.5,41.126496,-73.351695,Pussy Willow Brook
2012,Pussy Willow 3,4,0.2857142857142857,41.129896,-73.34824,Pussy Willow Brook
2012,Pussy Willow 4,13,0.5,41.136663,-73.34445,Pussy Willow Brook
2012,Pussy Willow 5,11,0.5,41.140038,-73.34506,Pussy Willow Brook
2012,Sasco 3,2,0.5,41.13702,-73.29708,Sasco Brook
2012,Sasco 4,2,0.5,41.13813,-73.29793,Sasco Brook
2012,Sasco 5,2,0.5,41.13853,-73.2979,Sasco Brook
2012,Sasco 6,1,0.25,41.14556,-73.30111,Sasco Brook
2012,Sasco 9,1,0.25,41.1528,-73.30605,Sasco Brook
2013,Deadman 1,6,0.5,41.13975,-73.358428,Deadman Brook
2013,Deadman 10,1,0.08333333333333333,41.179736,-73.329331,Deadman Brook
2013,Deadman 2,6,0.5,41.141994,-73.358341,Deadman Brook
2013,Deadman 3,6,0.5,41.146818,-73.354342,Deadman Brook
2013,Deadman 4,4,0.3333333333333333,41.154866,-73.3413,Deadman Brook
2013,Deadman 5,6,0.5,41.158688,-73.334975,Deadman Brook
2013,Deadman 7,6,0.5,41.165024,-73.334193,Deadman Brook
2013,Deadman 7.2,6,0.5,41.167603,-73.332004,Deadman Brook
2013,Deadman 8,6,0.5,41.172671,-73.33152,Deadman Brook
2013,Deadman 9,1,0.08333333333333333,41.178255,-73.33006,Deadman Brook
2013,Hunt Club 1,1,0.5,41.14587,-73.30357,Sasco Brook
2013,Hunt Club 2,11,0.5,41.14786,-73.30736,Sasco Brook
2013,Hunt Club 3,3,0.3,41.14685,-73.30846,Sasco Brook
2013,Hunt Club 4,1,0.125,41.14649,-73.30862,Sasco Brook
2013,Hunt Club 5,4,0.5,41.14708,-73.30917,Sasco Brook
2013,Muddy 3,1,0.5,41.13857,-73.32546,Muddy Brook
2013,Muddy 4,1,0.5,41.14107,-73.32172,Muddy Brook
2013,New 0.5,0,0,41.11657,-73.3187,Greens Farms Brook
2013,New 1,0,0,41.118839,-73.316926,Greens Farms Brook
2013,New 2,3,0.5,41.123344,-73.313794,Greens Farms Brook
2013,New 3,3,0.5,41.130641,-73.31282,Greens Farms Brook
2013,New 4,3,0.5,41.13149,-73.313413,Greens Farms Brook
2013,Pussy Willow 1,2,0.5,41.1234,-73.34916,Pussy Willow Brook
2013,Pussy Willow 2,2,0.5,41.126496,-73.351695,Pussy Willow Brook
2013,Pussy Willow 3,1,0.25,41.129896,-73.34824,Pussy Willow Brook
2013,Pussy Willow 4,2,0.5,41.136663,-73.34445,Pussy Willow Brook
2013,Pussy Willow 5,2,0.5,41.140038,-73.34506,Pussy Willow Brook
2013,Sasco 3,2,0.5,41.13702,-73.29708,Sasco Brook
2013,Sasco 4,2,0.3333333333333333,41.13813,-73.29793,Sasco Brook
2013,Sasco 5,6,0.375,41.13853,-73.2979,Sasco Brook
2013,Sasco 6,5,0.3125,41.14556,-73.30111,Sasco Brook
2013,Sasco 9,6,0.3333333333333333,41.1528,-73.30605,Sasco Brook
2013,Stony 1,0,0,41.132228,-73.36838,Stony Brook
2013,Stony 2,2,0.5,41.136532,-73.369931,Stony Brook
2013,Stony 3,0,0,41.143217,-73.380624,Stony Brook
2013,Stony 4,1,0.25,41.148829,-73.384235,Stony Brook
2013,Stony 5,0,0,41.150327,-73.387394,Stony Brook
2014,Hunt Club 1,10,0.4166666666666667,41.14587,-73.30357,Sasco Brook
2014,Hunt Club 2,12,0.5,41.14786,-73.30736,Sasco Brook
2014,Hunt Club 3,8,0.3333333333333333,41.14685,-73.30846,Sasco Brook
2014,Hunt Club 4,9,0.4090909090909091,41.14649,-73.30862,Sasco Brook
2014,Hunt Club 5,7,0.5,41.14708,-73.30917,Sasco Brook
2014,Indian 1,1,0.5,41.11643,-73.37585,Indian River
2014,Indian 2,1,0.5,41.11837,-73.37903,Indian River
2014,Indian 3,1,0.5,41.12117,-73.37998,Indian River
2014,Muddy 3,3,0.5,41.13857,-73.32546,Muddy Brook
2014,Muddy 4,3,0.5,41.14107,-73.32172,Muddy Brook
2014,Pussy Willow 1,3,0.5,41.1234,-73.34916,Pussy Willow Brook
2014,Pussy Willow 2,3,0.5,41.126496,-73.351695,Pussy Willow Brook
2014,Pussy Willow 3,3,0.5,41.129896,-73.34824,Pussy Willow Brook
2014,Pussy Willow 4,3,0.5,41.136663,-73.34445,Pussy Willow Brook
2014,Pussy Willow 5,3,0.5,41.140038,-73.34506,Pussy Willow Brook
2014,Sasco 1,4,0.13333333333333333,41.12478,-73.29888,Sasco Brook
2014,Sasco 2,10,0.3333333333333333,41.13293,-73.29675,Sasco Brook
2014,Sasco 3,14,0.4666666666666667,41.13702,-73.29708,Sasco Brook
2014,Sasco 4,14,0.4666666666666667,41.13813,-73.29793,Sasco Brook
2014,Sasco 7,8,0.36363636363636365,41.14573,-73.30314,Sasco Brook
2014,Sasco 8,5,0.22727272727272727,41.14579,-73.30318,Sasco Brook
2015,Hunt Club 1,10,0.38461538461538464,41.14587,-73.30357,Sasco Brook
2015,Hunt Club 2,12,0.46153846153846156,41.14786,-73.30736,Sasco Brook
2015,Hunt Club 3,8,0.4444444444444444,41.14685,-73.30846,Sasco Brook
2015,Hunt Club 4,12,0.46153846153846156,41.14649,-73.30862,Sasco Brook
2015,Hunt Club 5,6,0.5,41.14708,-73.30917,Sasco Brook
2015,Muddy 1,3,0.5,41.12735,-73.329580000000007,Muddy Brook
2015,Muddy 3,3,0.5,41.13857,-73.32546,Muddy Brook
2015,Muddy 4,3,0.5,41.14107,-73.32172,Muddy Brook
2015,Sasco 7,6,0.2727272727272727,41.14573,-73.30314,Sasco Brook
2015,Sasco 8,7,0.3181818181818182,41.14579,-73.30318,Sasco Brook
2016,Hunt Club 1,8,0.4444444444444444,41.14587,-73.30357,Sasco Brook
2016,Hunt Club 2,9,0.5,41.14786,-73.30736,Sasco Brook
2016,Hunt Club 3,8,0.5,41.14685,-73.30846,Sasco Brook
2016,Hunt Club 4,9,0.5,41.14649,-73.30862,Sasco Brook
2016,Hunt Club 5,2,0.3333333333333333,41.14708,-73.30917,Sasco Brook
2016,Indian 1,4,0.5,41.11643,-73.37585,Indian River
2016,Indian 2,2,0.25,41.11837,-73.37903,Indian River
2016,Indian 3,3,0.375,41.12117,-73.37998,Indian River
2016,Lamplight 1,3,0.5,41.11826,-73.34596,Pussy Willow Brook
2016,Muddy 0.5,3,0.5,41.12463,-73.33206,Muddy Brook
2016,Muddy 1,4,0.4,41.12735,-73.329580000000007,Muddy Brook
2016,New 1,3,0.375,41.118839,-73.316926,Greens Farms Brook
2016,New 1.5,3,0.5,41.120757,-73.31513,Greens Farms Brook
2016,Poplar 1,5,0.25,41.16173,-73.36938,Saugatuck River
2016,Poplar 2,4,0.25,41.16205,-73.37512,Saugatuck River
2016,Poplar 3,5,0.25,41.15937,-73.3791,Saugatuck River
2016,Poplar 4,5,0.2777777777777778,41.15946,-73.38549,Saugatuck River
2016,Pussy Willow 1,3,0.375,41.1234,-73.34916,Pussy Willow Brook
2016,Sasco 1,1,0.05,41.12478,-73.29888,Sasco Brook
2016,Sasco 2,6,0.3,41.13293,-73.29675,Sasco Brook
2016,Sasco 3,10,0.5,41.13702,-73.29708,Sasco Brook
2016,Sasco 4,3,0.15,41.13813,-73.29793,Sasco Brook
2016,Sasco 5,1,0.05555555555555555,41.13853,-73.2979,Sasco Brook
2016,Sasco 6,4,0.2,41.14556,-73.30111,Sasco Brook
2016,Sasco 7,10,0.3125,41.14573,-73.30314,Sasco Brook
2016,Sasco 8,9,0.28125,41.14579,-73.30318,Sasco Brook
2016,Sasco 9,7,0.35,41.1528,-73.30605,Sasco Brook
2016,Saugatuck 1,7,0.35,41.16748,-73.36647,Saugatuck River
2016,Saugatuck 2,5,0.25,41.17553,-73.36193,Saugatuck River
2016,West Saug 1,4,0.2,41.17809,-73.37404,Saugatuck River
2017,Indian 1,4,0.4,41.11643,-73.37585,Indian River
2017,Indian 2,3,0.25,41.11837,-73.37903,Indian River
2017,Indian 3,2,0.16666666666666666,41.12117,-73.37998,Indian River
2017,Lamplight 1,3,0.5,41.11826,-73.34596,Pussy Willow Brook
2017,Muddy 0.5,3,0.5,41.12463,-73.33206,Muddy Brook
2017,Muddy 1,13,0.5,41.12735,-73.329580000000007,Muddy Brook
2017,Muddy 2,12,0.46153846153846156,41.13293,-73.32859,Muddy Brook
2017,Muddy 3,8,0.4,41.13857,-73.32546,Muddy Brook
